company_id,name,search_rating,review_count,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
47273,화성일렉컴(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,화성일렉컴
434405,(주)아이제이테크,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,0%,아이제이테크
406128,(주)비에이치티생명과학,5.0,2,5.0,4.5,5.0,5.0,4.5,5.0,100%,100%,100%,비에이치티
369485,(주)트랜디플러스,2.8,5,2.8,3.0,3.2,3.0,3.2,3.0,40%,40%,40%,트랜디플러스
205100,이화일렉콤(주),2.3,4,2.3,2.3,2.0,1.8,2.8,1.5,0%,0%,0%,이화일렉콤
265739,정근건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,정근건설
249783,덕천건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,덕천건설
429424,이지솔루션,1.8,4,1.8,1.3,1.3,1.3,2.8,1.3,0%,0%,0%,이지솔루션
198247,케이엠솔루션뱅크(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,케이엠솔루션뱅크
289468,건창기술단(주),3.0,1,3.0,2.0,1.0,1.0,3.0,1.0,0%,0%,0%,건창기술단
378771,고양시대화노인종합복지관,3.4,14,3.4,2.9,3.7,3.2,2.1,2.8,43%,43%,21%,고양시대화노인종합복지관
85745,(주)경남은행,3.1,214,3.1,3.8,2.7,2.8,3.1,2.7,47%,57%,20%,경남은행
38682,더블유피솔루션즈(주),2.1,8,2.1,2.1,2.5,1.6,2.0,1.8,0%,38%,0%,더블유피솔루션즈
180501,상원건업(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,상원건업
206261,라온랜드(주),5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,100%,100%,100%,라온랜드
222721,부산은성관광(주),2.0,4,2.0,1.5,2.5,1.8,1.8,1.8,0%,25%,0%,부산은성관광
82997,다날(주),2.9,356,2.9,2.6,3.5,2.9,3.0,2.3,38%,44%,16%,다날
173573,지오데코(주),2.0,21,2.0,1.6,3.2,2.0,1.9,1.3,24%,24%,0%,지오데코
379910,(주)드림위드에프씨,1.3,6,1.3,1.5,2.8,2.2,2.2,1.7,33%,33%,17%,드림위드
322009,(주)코스모코스,2.3,243,2.3,2.0,3.2,2.2,2.2,1.7,21%,17%,4%,코스모코스
87335,(주)조이엠지,2.3,41,2.3,2.1,3.1,2.2,2.4,2.0,24%,26%,15%,조이엠지
17501,오티스엘리베이터(유),2.9,474,2.9,2.4,3.4,3.1,3.0,2.3,40%,30%,10%,오티스엘리베이터
13164,인천화학(주),2.5,28,2.5,2.2,3.2,2.3,2.1,2.4,29%,50%,11%,인천화학
260420,(주)대광건영,2.4,43,2.4,2.7,2.3,2.0,2.8,2.0,19%,37%,30%,대광건영
11279,제일파마홀딩스(주),2.6,946,2.6,2.6,2.8,2.3,2.3,1.9,28%,23%,10%,제일약품
109463,고려엠지(주),2.5,6,2.5,1.8,2.7,1.7,2.3,1.5,17%,50%,0%,고려엠지
102436,이모텔리(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,이모텔리
141073,딕슨로지스틱스(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,딕슨로지스틱스
439789,(주)제이앤이 아산공장,4.0,3,4.0,3.7,3.3,3.3,3.3,3.3,33%,33%,33%,제이앤이아산공장
194243,대성아이넷(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대성아이넷
44679,광진실업(주),2.4,40,2.4,2.5,2.6,2.3,2.1,2.2,30%,38%,13%,광진실업
137790,덕수건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,덕수건설
71518,(주)셀루메드,2.2,115,2.2,1.9,3.0,2.3,2.0,1.9,21%,23%,10%,셀루메드
33299,미주기업,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,미주기업
204106,우경건설(주),2.0,24,2.0,1.4,3.0,2.1,2.1,1.5,13%,17%,4%,우경건설
7486,다올투자증권(주),2.9,136,2.9,3.0,3.0,2.6,3.0,2.2,32%,37%,16%,다올투자증권
426863,(주)엘도라도리조트 신안지점,3.0,5,3.0,2.2,2.6,2.2,2.2,2.2,40%,20%,0%,엘도라도리조트신안지점
386938,(주)정문패키지,2.0,2,2.0,1.0,5.0,1.0,1.0,1.0,0%,0%,0%,정문패키지
249587,예인아테크(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,예인아테크
92355,노사발전재단,3.3,164,3.3,2.4,4.3,3.1,2.1,2.4,59%,46%,16%,노사발전재단
37663,동아에스티(주),3.5,507,3.5,3.3,3.9,3.2,3.1,2.6,66%,42%,17%,동아
