기업명,상세명,기업형태,지역,업종,자본금,매출액,대표자,설립일
화성일렉컴,㈜화성일렉컴,중소기업,서울 강서구,기타 반도체소자 제조업,"5,000만원(2023.12.31)",124억 7백만원(2023.12.31),황근성,2000.09.08(26년차)
아이제이테크,㈜아이제이테크,중소기업,경기 평택시,그 외 기타 전자부품 제조업,1억원(2024.12.31),115억 1천만원(2024.12.31),유인상,2010.07.01(16년차)
비에이치티,㈜비에이치티생명과학,중소기업,서울 강남구,화장품 및 화장용품 도매업,"5,000만원(2022.12.31)","8억 1,581만원(2022.12.31)",강세혁,2015.09.25(11년차)
트랜디플러스,㈜트랜디플러스,중소기업,서울 영등포구,광고·홍보·전시,2억원,70억,황다인,2017.04.03(9년차)
대광플라테크,㈜대광플라테크,중소기업,대구 북구,포장용 플라스틱 성형용기 제조업,2억원(2019.12.31),49억 5백만원(2019.12.31),조규택,2014.07.01(12년차)
이화일렉콤,㈜이화일렉콤,중소기업,경기 광주시,기타 전기 변환장치 제조업,7억원(2024.12.31),138억 1천만원(2024.12.31),이정상,2000.07.01(26년차)
덕천건설,㈜덕천건설,중소기업,경기 용인시,건물 건설업,11억 3천만원(2024.12.31),"1억 8,881만원(2024.12.31)",이은상,2001.04.03(25년차)
이지솔루션,㈜이지솔루션,중소기업,경기 평택시,그 외 기타 전기장비 제조업,2억원(2023.12.31),67억 6천만원(2023.12.31),김선홍,2014.01.06(12년차)
이지솔루션,이지솔루션,중소기업,경기 용인시,정보보안,"5,000만원",6억,이영주,2020.04.01(6년차)
이지솔루션,㈜이지다큐 솔루션,중소기업,서울 구로구,솔루션·SI·CRM·ERP,,,홍창호,2012.05.21(14년차)
이지솔루션,㈜케이지이솔루션 (KGE So,중소기업,인천 연수구,전기·전자·제어,-,-,김기환,2023.05.01(3년차)
이지솔루션,이지솔루션,중소기업,경기 광명시,회계·세무·법무,-,-,김민우,-
이지솔루션,이지솔루션,중소기업,서울 중구,솔루션·SI·CRM·ERP,-,-,신관석외 3명,2011.07.04(15년차)
이지솔루션,이지솔루션,중소기업,인천 서구,네트워크·통신서비스,-,-,한선희,2016.04.05(10년차)
이지솔루션,이지엠솔루션,중소기업,경기 성남시,컴퓨터 및 주변 기기 수리업,"5,206만원(2015.12.31)","3억 7,185만원(2015.12.31)",심문보,2013.06.07(13년차)
건창기술단,건창기술단,중소기업,서울 동대문구,건물 및 토목 엔지니어링 서비스업,10억원(2022.12.31),86억 7천만원(2022.12.31),김영규/이상호,2000.04.01(26년차)
고양시대화노인종합복지관,고양시대화노인종합복지관,비영리법인,경기도 고양시,그 외 기타 비거주 복지 서비스업,-,-,최윤정,2015.12.31(11년차)
경남은행,경남은행,대기업,경상남도 창원시,국내은행,"4,321억 4백만원(2024.12.31)","2조 7,670억원(2024.12.31)",김태한,2014.05.08(12년차)
더블유피솔루션즈,더블유피솔루션즈㈜,벤처기업,서울 구로구,솔루션·SI·CRM·ERP,"3억 8,000만원",20억 100백만원,이주기,2002(24년차)
라온랜드,라온랜드㈜,중소기업,제주 제주시,비주거용 건물 개발 및 공급업,9억원(2024.12.31),82억 6천만원(2024.12.31),윤창호,2006.12.06(20년차)
다날,㈜다날,중견기업,경기 성남시,모바일·APP,,,,
다날,㈜다날엔터테인먼트,중견기업,경기 성남시,데이터베이스 및 온라인정보 제공업,45억 6천만원(2024.12.31),216억 9백만원(2024.12.31),현능호,2012.01.01(14년차)
다날,㈜다날핀테크,중견기업,경기 성남시,시스템 소프트웨어 개발 및 공급업,77억 6천만원(2023.12.31),"1억 3,111만원(2023.12.31)",손경환,2019.01.25(7년차)
다날,다나음㈜,중소기업,경기 성남시,제약·보건·바이오,1억원,"60억 7,525만",김병용,2010.11.18(16년차)
다날,㈜다날쏘시오,중소기업,경기 성남시,전자상거래 소매업,80억원(2016.12.31),"3억 8,220만원(2016.12.31)",장한솔,2015.04.01(11년차)
다날,다나음,중소기업,경기 김포시,의료기기 도매업,"8억 5,000만원(2024.12.31)",45억 5백만원(2024.12.31),안창호,2016.04.28(10년차)
다날,㈜다날인터내셔널,중소기업,부산 부산진구,그 외 기타 상품 전문 도매업,-,-,신유라,-
다날,㈜다날투자파트너스,중소기업,경기도 성남시,투자 자문업 및 투자 일임업,-,-,진창용,-
다날,다나움요양병원,중소기업,서울 송파구,의료(병원분류별),-,-,김태형,-
다날,다날인프라랩,중소기업,서울 강남구,컴퓨터시스템 통합 자문 및 구축 서비스업,"2억 5,750만원(2024.12.31)",16억 1천만원(2024.12.31),유승수,2014.06.25(12년차)
지오데코,지오데코㈜,중소기업,서울특별시 강남구,무역·상사,,,한창헌,2000(26년차)
지오데코,데코지오,중소기업,경기 부천시,생활용품·소비재·기타,1억원,80억,박정준,2001(25년차)
지오데코,지오인터데코,중소기업,경기 수원시,"도배, 실내장식 및 내장 목공사업",-,-,양재혁,2002.01.10(24년차)
드림위드,㈜ 위드드림,중소기업,대전 동구,화학·에너지·환경,-,-,서동명,2017.11.20(9년차)
드림위드,드림위드에프씨,중소기업,경기 고양시,음식료·외식·프랜차이즈,"5,000만원",17억 7천만,이희경,2017.02.01(9년차)
드림위드,드림위드,중소기업,경기 수원시,네트워크·통신서비스,-,-,박정희,2021.10.15(5년차)
코스모코스,"㈜코스모코스(COSMOCOS Co.,Ltd)",중견기업,서울 관악구,생활화학·화장품,523억 5천만원,800억,이정훈,1992(34년차)
조이엠지,㈜조이엠지,중소기업,서울 서초구,제약·보건·바이오,30억원,-,명동섭,1987.01.01(39년차)
오티스엘리베이터,오티스엘리베이터,중견기업,서울 영등포구,승강기 제조업,,,,
인천화학,SK인천석유화학,대기업,인천 서구,원유 정제처리업,"1,066억 6천만원(2024.12.31)",10조 7천억원(2024.12.31),노상구,2013.07.01(13년차)
인천화학,인천화학㈜,중소기업,인천 서구,기타 기초 무기 화학물질 제조업,12억원(2024.12.31),825억 3천만원(2024.12.31),이창원,1983.01.21(43년차)
대광건영,㈜대광건영,중견기업,광주 서구,아파트 건설업,38억원(2024.12.31),"4,814억 5천만원(2024.12.31)",김남중,2002.08.09(24년차)
대광건영,대광건영㈜,중소기업,인천 동구,건축·설비·환경,-,-,이해우,1978(48년차)
제일약품,제일약품㈜,중견기업,서울 서초구,완제 의약품 제조업,73억 5천만원(2024.12.31),"6,983억 7천만원(2024.12.31)",성석제/한상철,2017.06.01(9년차)
제일약품,제일약품㈜,대기업,경기 용인시,제약·보건·바이오,-,-,성석제,2017.06.01(9년차)
고려엠지,고려엠지㈜,중소기업,서울 송파구,"증류기, 열교환기 및 가스발생기 제조업","3억 5,000만원(2024.12.31)",165억 4천만원(2024.12.31),윤주영,2003.02.11(23년차)
이모텔리,㈜이모텔리,중소기업,서울 구로구,컴퓨터·하드웨어·장비,2억원,80억,김성수,2007.04.06(19년차)
대성아이넷,대성아이넷,중소기업,경기 남양주시,"컴퓨터 및 주변장치, 소프트웨어 소매업",10억 5천만원(2020.12.31),"4억 4,857만원(2020.12.31)",홍근원,2009.02.10(17년차)
광진실업,광진실업㈜,중소기업,부산 사하구,열간 압연 및 압출 제품 제조업,32억 2백만원(2024.12.31),554억 8천만원(2024.12.31),허유석,1976.12.06(50년차)
광진실업,㈜광진실업,중소기업,인천 서구,그 외 기타 분류 안된 섬유제품 제조업,"5,000만원(2021.12.31)",46억 1천만원(2021.12.31),최진수,2012.01.01(14년차)
광진실업,광진실업㈜케이제이모터스,중소기업,부산 남구,자동차·조선·철강·항공,-,197억,허유석 허정도,2011(15년차)
광진실업,광진실업㈜케이제이모터스 창원점,대기업 계열사·자회사,경남 김해시,금속·재료·자재,-,-,허유석,-
정석푸드,㈜정석푸드나주,중소기업,전남 나주시,육류 포장육 및 냉동육 가공업 (가금류 제외),2억원(2024.12.31),569억 9천만원(2024.12.31),손정석,2019.12.01(7년차)
정석푸드,농업회사법인 ㈜정석푸드,중소기업,전남 장성군,육류 기타 가공 및 저장처리업 (가금류 제외),2억원(2024.12.31),423억 2천만원(2024.12.31),손정석,2014.04.16(12년차)
덕수건설,㈜덕수건설,중소기업,인천 강화군,비주거용 건물 개발 및 공급업,5억원(2024.12.31),-,강용덕/이원수,2022.05.26(4년차)
셀루메드,㈜셀루메드,중소기업,서울 금천구,제약·보건·바이오,122억원,128억,유인수,1997(29년차)
우경건설,우경건설㈜,중견기업,경기 군포시,토목시설물 건설업,25억 5백만원(2024.12.31),239억 8천만원(2024.12.31),김완,2001.01.05(25년차)
우경건설,우경건설㈜,중소기업,경기 성남시,토목시설물 건설업,17억원(2024.12.31),"1,000억 7천만원(2024.12.31)",노윤근,1999.03.20(27년차)
우경건설,㈜우경건설,중소기업,경기 시흥시,그 외 기타 건축 마무리 공사업,3억원(2018.12.31),16억 3천만원(2018.12.31),신현악,2008.05.01(18년차)
우경건설,㈜우경종합건설,중소기업,세종 조치원읍,기타 비주거용 건물 건설업,-,-,박진숙,2022.03.16(4년차)
우경건설,우경건설㈜남원지사,중소기업,전북 남원시,금속·재료·자재,-,-,노윤근,-
우경건설,삼덕이앤씨㈜,중소기업,경기 군포시,주거용 건물 건설업,13억원(2022.12.31),"6억 8,376만원(2022.12.31)",안상필,1999.10.27(27년차)
다올투자증권,다올투자증권㈜,대기업,서울 영등포구,증권 중개업,"4,007억 4천만원(2024.12.31)","8,949억 5천만원(2024.12.31)",이병철/황준호,1981.05.08(45년차)
다올투자증권,㈜다올저축은행,대기업,서울 강남구,상호저축은행 및 기타 저축기관,"2,780억원(2024.12.31)","4,158억 4천만원(2024.12.31)",김정수,1972.12.20(54년차)
다올투자증권,㈜케이씨이아이,벤처기업,서울 구로구,솔루션·SI·CRM·ERP,15억원,161억 61백만,고현준,1982.09.16(44년차)
다올투자증권,다올자산운용㈜,중소기업,서울 영등포구,은행·금융,,,이창희,1999.09.11(27년차)
다올투자증권,엠지푸드솔루션㈜,중소기업,경기 포천시,천연 및 혼합조제 조미료 제조업,"4억 7,444만원(2024.12.31)",399억 1백만원(2024.12.31),김광녕/하상훈,2012.01.01(14년차)
다올투자증권,승명실업㈜,중소기업,인천 부평구,오프셋 인쇄업,"2억 4,000만원(2024.06.30)",363억 9천만원(2024.06.30),이승련,1991.12.05(35년차)
다올투자증권,애경피앤티㈜,중소기업,충북 음성군,"플라스틱 포대, 봉투 및 유사제품 제조업",18억 5천만원(2024.06.30),503억 1천만원(2024.06.30),방재승,1983.06.01(43년차)
다올투자증권,박원,중소기업,경기 화성시,구름베어링 제조업,15억 3천만원(2024.12.31),416억 3천만원(2024.12.31),김상태/박운규,1994.12.27(32년차)
다올투자증권,케이티비프라이빗에쿼티㈜,중소기업,서울특별시 영등포구,신탁업 및 집합투자업,251억원(2020.12.31),23억 5백만원(2020.12.31),김지원,2001.10.09(25년차)
다올투자증권,에스원피앤피㈜,중소기업,경기 화성시,경영 컨설팅업,74억 2천만원(2024.06.30),16억 5천만원(2024.06.30),윤여준,2019.02.01(7년차)
엘도라도리조트신안지점,㈜엘도라도리조트신안지점,중소기업,전남 신안군,호텔·여행·항공,-,-,김광중,2004.07.23(22년차)
